iteration,x,y,z,r,p0,p1,p2,p3,p4,p5,pxy1,pxy2,pxy3,pxy4
0,0.0015227194244964,-0.07167262044675834,-0.2615975287690544,0.07168879407655579,395.079,513.842,0,0,604.196,176.584,445,-138.158,370.322,390.39
0,0.001488871399489858,-0.07276608326660086,-0.26121887243364494,0.07278131361830527,399.518,519.615,0,0,610.984,178.568,450,-139.71,374.483,394.776
0,0.0015485291564322054,-0.07389033202894307,-0.2608659900983951,0.07390655660965251,403.957,525.389,0,0,617.773,180.552,455,-141.263,378.644,399.163
0,0.0016881757402646227,-0.07504083344745288,-0.260499620406483,0.07505982028900936,408.396,531.162,0,0,624.562,182.536,460,-142.815,382.805,403.549
0,0.0017526913721170163,-0.07610484620286752,-0.2601292388622789,0.07612502573141117,412.835,536.936,0,0,631.35,184.52,465,-144.367,386.966,407.935
0,0.0016831583887693747,-0.0772409463746511,-0.25978456578767384,0.07725928306044143,417.274,542.709,0,0,638.139,186.504,470,-145.92,391.127,412.322
0,0.0014119896842174464,-0.07814248796869729,-0.2594160396329416,0.0781552438471427,421.713,548.483,0,0,644.928,188.489,475,-147.472,395.288,416.708
0,0.001254722242480857,-0.07905724071093256,-0.25911766854037305,0.07906719697024872,426.152,554.256,0,0,651.717,190.473,480,-149.024,399.449,421.095
0,0.0012818881961784586,-0.08012016533113683,-0.2587644116744019,0.08013041950493086,430.591,560.03,0,0,658.505,192.457,485,-150.577,403.61,425.481
0,0.0012559265802913626,-0.08118447807612003,-0.25837725110737564,0.08119419210797714,435.03,565.803,0,0,665.294,194.441,490,-152.129,407.771,429.867
0,0.001365738278352483,-0.08248213695338068,-0.2579480548625972,0.0824934431178697,439.47,571.577,0,0,672.083,196.425,495,-153.681,411.932,434.254
0,0.0013912071886763443,-0.08360960186726735,-0.2575099924473791,0.08362117543926766,443.909,577.35,0,0,678.871,198.409,500,-155.234,416.093,438.64
0,0.0013648358409848907,-0.08436545282211545,-0.2572126794330442,0.08437649202682833,448.348,583.124,0,0,685.66,200.393,505,-156.786,420.254,443.027
0,0.001286242099456135,-0.08551327264983924,-0.25680125857943015,0.08552294556447501,452.787,588.897,0,0,692.449,202.377,510,-158.338,424.415,447.413
0,0.0011715224689065299,-0.08653718939880839,-0.2563880871427885,0.08654511894925322,457.226,594.671,0,0,699.238,204.361,515,-159.891,428.575,451.799
0,0.0009786683268068808,-0.08768531507733836,-0.2559529130512756,0.08769077643575746,461.665,600.444,0,0,706.026,206.345,520,-161.443,432.736,456.186
0,0.0009161895966240254,-0.08853615429306314,-0.2555709631270656,0.08854089462153658,466.104,606.218,0,0,712.815,208.329,525,-162.995,436.897,460.572
0,0.0008826074326387409,-0.08970915152732224,-0.25510304928125477,0.0897134932082806,470.543,611.991,0,0,719.604,210.314,530,-164.548,441.058,464.959
0,0.0009426470141964939,-0.09120264535632513,-0.2544629913604335,0.09120751670440867,474.982,617.765,0,0,726.392,212.298,535,-166.1,445.219,469.345
0,0.0010837348361288311,-0.09212364704734789,-0.25395479272160026,0.09213002130955669,479.421,623.538,0,0,733.181,214.282,540,-167.652,449.38,473.731
1,0.0016332103176265444,-0.09368906431054837,-0.2533044152645099,0.09370329848691385,483.239,628.504,0,0,739.02,215.988,544.3,-168.987,452.959,477.504
1,0.0022478810079075828,-0.09507767990165403,-0.25268491262198295,0.09510424903497793,485.897,629.425,0,0,735.796,218.538,545.098,-171.185,447.959,477.167
1,0.0026885270069226795,-0.09615275680621584,-0.25218479710160774,0.09619033641121252,488.555,630.346,0,0,732.572,221.087,545.896,-173.382,442.959,476.83
1,0.00299005623025669,-0.09752083768366855,-0.2515747654247642,0.09756666551022702,491.213,631.267,0,0,729.348,223.637,546.694,-175.579,437.959,476.492
1,0.0031329455260749456,-0.09904101683762813,-0.25089258785411767,0.09909055638102297,493.871,632.189,0,0,726.124,226.186,547.491,-177.777,432.959,476.155
1,0.003282971595606376,-0.09991209349066282,-0.25053761941863234,0.09996601586631582,496.529,633.11,0,0,722.9,228.736,548.289,-179.974,427.959,475.818
1,0.0039037586632362977,-0.1009736400562472,-0.2501592108334191,0.10104907381025004,499.187,634.031,0,0,719.676,231.285,549.087,-182.172,422.959,475.48
1,0.0047296206407299,-0.10165999471567726,-0.2499396535090177,0.10176995547309996,501.845,634.952,0,0,716.452,233.835,549.885,-184.369,417.959,475.143
1,0.0057882609571285396,-0.10260914288317444,-0.24958817638490938,0.1027722733431908,504.503,635.873,0,0,713.228,236.384,550.682,-186.566,412.959,474.806
1,0.006755003640317186,-0.10321856396091962,-0.24932073485182005,0.103439363978783,507.161,636.794,0,0,710.004,238.934,551.48,-188.764,407.959,474.469
1,0.007892462834310714,-0.10333782782497744,-0.2493326602163373,0.10363878438680983,509.819,637.716,0,0,706.78,241.483,552.278,-190.961,402.959,474.131
1,0.00881395297441313,-0.10306543433122987,-0.24950375291124546,0.10344162373493672,512.477,638.637,0,0,703.556,244.033,553.076,-193.159,397.959,473.794
1,0.009855785703222118,-0.10243195041945542,-0.24989647625011752,0.10290500949206317,515.135,639.558,0,0,700.332,246.582,553.873,-195.356,392.959,473.457
1,0.009907397325629971,-0.1021541618541246,-0.25013327851138184,0.102633470690056,517.793,640.479,0,0,697.108,249.132,554.671,-197.553,387.959,473.12
1,0.009403433391162879,-0.10213067923348311,-0.25019901336787614,0.10256266474811707,520.451,641.4,0,0,693.884,251.681,555.469,-199.751,382.959,472.782
1,0.008940435303053038,-0.10234799211425782,-0.2501580964860311,0.10273773831084787,523.109,642.322,0,0,690.66,254.231,556.267,-201.948,377.959,472.445
1,0.009042910926963422,-0.10243678872260384,-0.2501385763028968,0.1028351589770365,525.767,643.243,0,0,687.436,256.78,557.065,-204.146,372.959,472.108
1,0.0096686453760542,-0.10229206925992833,-0.2503025760289003,0.10274799334724678,528.425,644.164,0,0,684.212,259.329,557.862,-206.343,367.959,471.771
1,0.010535677234487563,-0.10201082392674425,-0.2504604929970187,0.10255344310652137,531.083,645.085,0,0,680.988,261.879,558.66,-208.54,362.959,471.433
1,0.011059422994973665,-0.10179790212182403,-0.2505948690725488,0.10239689308463522,533.741,646.006,0,0,677.764,264.428,559.458,-210.738,357.959,471.096
1,0.010939291990425393,-0.1018177699808006,-0.2506401196880775,0.10240374208550683,536.399,646.927,0,0,674.54,266.978,560.256,-212.935,352.959,470.759
1,0.010564741398659781,-0.10194308894444587,-0.2506234504750549,0.10248905865679399,539.057,647.849,0,0,671.316,269.527,561.053,-215.132,347.959,470.422
1,0.010256580160095077,-0.10193391518962629,-0.2507079831933734,0.10244862372168002,541.715,648.77,0,0,668.092,272.077,561.851,-217.33,342.959,470.084
1,0.010424844403558831,-0.1018522990901272,-0.25089437210785487,0.10238441390555078,544.373,649.691,0,0,664.868,274.626,562.649,-219.527,337.959,469.747
1,0.010833432709685495,-0.10160324960886966,-0.2509260430991411,0.10217917398059917,547.031,650.612,0,0,661.644,277.176,563.447,-221.725,332.959,469.41
1,0.01161108845867393,-0.101334194229494,-0.25111901757486516,0.10199723670441256,549.689,651.533,0,0,658.42,279.725,564.244,-223.922,327.959,469.072
1,0.011956963997484533,-0.10133013427759006,-0.2511618985736043,0.10203315686947834,552.347,652.454,0,0,655.196,282.275,565.042,-226.119,322.959,468.735
1,0.011887314831615887,-0.10146562459714183,-0.2512411070200008,0.10215958706256632,555.005,653.376,0,0,651.972,284.824,565.84,-228.317,317.959,468.398
1,0.011509104325083955,-0.10153654137295762,-0.25126505959203327,0.10218673454195511,557.663,654.297,0,0,648.748,287.374,566.638,-230.514,312.959,468.061
1,0.011436746686491127,-0.10137727825994595,-0.2514147002581706,0.10202034954932018,560.321,655.218,0,0,645.523,289.923,567.435,-232.712,307.959,467.723
1,0.01170357698671613,-0.1011868903068463,-0.2515153789661908,0.10186147693929112,562.978,656.139,0,0,642.299,292.473,568.233,-234.909,302.959,467.386
1,0.01225734574779605,-0.10088371257895001,-0.25171072209528533,0.1016256167926828,565.636,657.06,0,0,639.075,295.022,569.031,-237.106,297.959,467.049
1,0.012735562434969308,-0.10079946234359845,-0.2517817802626709,0.10160081770976809,568.294,657.981,0,0,635.851,297.572,569.829,-239.304,292.959,466.712
1,0.013005777281793689,-0.10084332313572889,-0.2518063222977938,0.10167854278932528,570.952,658.903,0,0,632.627,300.121,570.626,-241.501,287.959,466.374
1,0.013170335665633692,-0.10096785857000569,-0.2517933781977524,0.1018232105453277,573.61,659.824,0,0,629.403,302.671,571.424,-243.698,282.959,466.037
1,0.013533760874635148,-0.10099469488276791,-0.2518255811239781,0.10189745373597513,576.268,660.745,0,0,626.179,305.22,572.222,-245.896,277.959,465.7
1,0.014363624224092182,-0.10084572590508159,-0.25194744763909743,0.10186350737223696,578.926,661.666,0,0,622.955,307.77,573.02,-248.093,272.959,465.363
1,0.015062657501011264,-0.10068384384314794,-0.25198868178438727,0.10180432241326579,581.584,662.587,0,0,619.731,310.319,573.817,-250.291,267.959,465.025
1,0.015964809789221664,-0.1006285251259384,-0.25205861958250714,0.1018870709198554,584.242,663.509,0,0,616.507,312.869,574.615,-252.488,262.959,464.688
1,0.01646294856523661,-0.10058761399959372,-0.25210470709030114,0.10192593764882857,586.9,664.43,0,0,613.283,315.418,575.413,-254.685,257.959,464.351
1,0.01693016369728279,-0.10071636403578231,-0.2520590023492256,0.10212941019806691,589.558,665.351,0,0,610.059,317.968,576.211,-256.883,252.959,464.014
1,0.017361196905761975,-0.10086140362336145,-0.2520673950835905,0.10234468182995766,592.216,666.272,0,0,606.835,320.517,577.009,-259.08,247.959,463.676
1,0.017946326124330014,-0.10092010112128007,-0.25206195648633656,0.10250335327046724,594.874,667.193,0,0,603.611,323.067,577.806,-261.278,242.959,463.339
1,0.018547431880658095,-0.10087485169550195,-0.2521282842067539,0.10256579807107807,597.532,668.114,0,0,600.387,325.616,578.604,-263.475,237.959,463.002
1,0.01915299817912921,-0.10093678291771155,-0.2521084175384367,0.10273787755753451,600.19,669.036,0,0,597.163,328.166,579.402,-265.672,232.959,462.664
1,0.019731925214462293,-0.10113875823082787,-0.25203682082892004,0.10304560781102212,602.848,669.957,0,0,593.939,330.715,580.2,-267.87,227.959,462.327
1,0.020151585373887487,-0.10134124298877657,-0.25190982494366654,0.10332537889401293,605.506,670.878,0,0,590.715,333.265,580.997,-270.067,222.959,461.99
1,0.020723288864710927,-0.10160812547714643,-0.25178255009676304,0.103699883627465,608.164,671.799,0,0,587.491,335.814,581.795,-272.264,217.959,461.653
1,0.021152316668381993,-0.10183055243444346,-0.25170047020471054,0.10400423986330293,610.822,672.72,0,0,584.267,338.364,582.593,-274.462,212.959,461.315
1,0.021905728638503066,-0.10194572364569285,-0.2516790525430778,0.10427267866909198,613.48,673.641,0,0,581.043,340.913,583.391,-276.659,207.959,460.978
1,0.022343426708318327,-0.10188787613330358,-0.2517304057339855,0.10430900258379143,616.138,674.563,0,0,577.819,343.463,584.188,-278.857,202.959,460.641
1,0.023008047641225847,-0.10189445315957026,-0.2518298822185689,0.1044598001192266,618.796,675.484,0,0,574.595,346.012,584.986,-281.054,197.959,460.304
1,0.023435737035254745,-0.10194509979057752,-0.251758417059569,0.10460419275390646,621.454,676.405,0,0,571.371,348.562,585.784,-283.251,192.959,459.966
1,0.02382687881061439,-0.102123751158256,-0.2517601535111489,0.10486648990258565,624.112,677.326,0,0,568.147,351.111,586.582,-285.449,187.959,459.629
1,0.024414174129827458,-0.10236040820020441,-0.2515850136826054,0.10523167329922113,626.77,678.247,0,0,564.923,353.661,587.379,-287.646,182.959,459.292
1,0.025019947294601743,-0.102513505908351,-0.25148557793895304,0.10552258836972378,629.428,679.169,0,0,561.699,356.21,588.177,-289.844,177.959,458.955
1,0.0256714748238409,-0.1027059445036466,-0.251401776227745,0.10586564908419177,632.086,680.09,0,0,558.475,358.76,588.975,-292.041,172.959,458.617
1,0.02630930641045125,-0.1029116047519333,-0.2512463909852708,0.10622136318282284,634.744,681.011,0,0,555.251,361.309,589.773,-294.238,167.959,458.28
1,0.02670388290531254,-0.10306190459468913,-0.25116587751641944,0.10646526917687969,637.402,681.932,0,0,552.027,363.859,590.57,-296.436,162.959,457.943
1,0.027158460427073424,-0.10320652224134998,-0.25109515141179956,0.10672004594228388,640.06,682.853,0,0,548.803,366.408,591.368,-298.633,157.959,457.606
1,0.0276514243200264,-0.10321610064119617,-0.25111440394977,0.1068558126565873,642.718,683.774,0,0,545.579,368.957,592.166,-300.831,152.959,457.268
1,0.028023724556612967,-0.1033227911543002,-0.2510695397098239,0.10705572525530825,645.376,684.696,0,0,542.355,371.507,592.964,-303.028,147.959,456.931
1,0.028629722500433073,-0.10338507939383033,-0.2510615151195591,0.10727597891289739,648.034,685.617,0,0,539.131,374.056,593.762,-305.225,142.959,456.594
1,0.0292048675167265,-0.1036245830752406,-0.2508867964296775,0.10766140675370625,650.692,686.538,0,0,535.907,376.606,594.559,-307.423,137.959,456.256
1,0.029891792637593572,-0.10372387867162491,-0.2507808106949102,0.1079451817997212,653.35,687.459,0,0,532.683,379.155,595.357,-309.62,132.959,455.919
1,0.030422755130109107,-0.10399308746990679,-0.25063589056072744,0.10835177096490055,656.008,688.38,0,0,529.459,381.705,596.155,-311.817,127.959,455.582
1,0.030869614046250687,-0.1041344115157802,-0.2506161068997788,0.10861357527078434,658.666,689.301,0,0,526.235,384.254,596.953,-314.015,122.959,455.245
1,0.03137985730307472,-0.10415028623800998,-0.25068716177613404,0.10877489401429331,661.324,690.223,0,0,523.011,386.804,597.75,-316.212,117.959,454.907
1,0.0316612238116572,-0.10361175262859619,-0.2505030630902453,0.10834125888146796,663.982,691.144,0,0,519.787,389.353,598.548,-318.41,112.959,454.57
